barrio,dia,direccion_viento_tarde,direccion_viento_temprano,horas_de_sol,humedad_tarde,humedad_temprano,id,llovieron_hamburguesas_hoy,mm_evaporados_agua,mm_lluvia_dia,nubosidad_tarde,nubosidad_temprano,presion_atmosferica_tarde,presion_atmosferica_temprano,rafaga_viento_max_direccion,rafaga_viento_max_velocidad,temp_max,temp_min,temperatura_tarde,temperatura_temprano,velocidad_viendo_tarde,velocidad_viendo_temprano
Villa Devoto,2010-10-02,Oestesuroeste,suroeste,,58.0,54.0,112250,no,,0.0,,,1016.3,1015.8,suroeste,37.0,19.2,10.0,18.0,16.0,20.0,19.0
Flores,2011-01-02,Sur,Sur,8.6,83.0,77.0,34251,no,10.6,0.0,5.0,1.0,1011.3,1012.3,Sur,61.0,25.4,20.5,22.9,23.4,39.0,13.0
Villa Riachuelo,2016-12-20,Oestenoroeste,Nornoreste,,35.0,75.0,135883,si,,1.1,3.0,8.0,,,Nornoreste,48.0,21.4,14.2,20.0,16.9,19.0,19.0
Caballito,2013-12-02,Estenoreste,,,57.0,59.0,19822,no,,0.2,,,1019.8,1022.8,Nornoreste,33.0,24.1,15.7,22.3,20.7,20.0,0.0
Mataderos,2012-08-29,Noroeste,,,53.0,85.0,50359,no,,0.2,,,1010.8,1017.7,Norte,35.0,15.1,-1.9,13.5,6.2,15.0,0.0
Versalles,2009-09-05,Nornoreste,Oestenoroeste,,54.0,58.0,102800,no,,0.0,,,1015.6,1019.1,Oestenoroeste,35.0,14.7,5.3,13.3,10.9,15.0,22.0
Villa Luro,2012-06-17,Oeste,Norte,4.1,54.0,84.0,122055,si,0.6,3.6,4.0,7.0,1023.8,1026.0,Norte,19.0,21.5,12.9,20.7,14.0,7.0,6.0
Villa Riachuelo,2013-01-07,Noroeste,Oestenoroeste,,23.0,65.0,134468,no,,0.0,,,1014.5,1021.9,Noroeste,41.0,29.6,11.0,28.9,19.4,24.0,4.0
Floresta,2010-05-14,Oestesuroeste,Estesureste,8.2,44.0,97.0,37027,no,1.6,0.0,0.0,0.0,1017.0,1020.9,Oestenoroeste,24.0,17.7,0.5,17.3,5.9,13.0,4.0
Villa Real,2015-03-07,Norte,Noroeste,1.8,52.0,59.0,132189,no,4.6,0.2,7.0,7.0,1001.9,1002.0,Noroeste,54.0,20.4,9.3,19.3,14.1,24.0,17.0
Floresta,2009-07-08,Estenoreste,Estesureste,9.4,52.0,66.0,36717,no,1.2,0.0,1.0,1.0,1027.7,1029.8,Estenoreste,33.0,14.5,0.7,13.7,5.5,22.0,7.0
Villa General Mitre,2012-04-10,Nornoreste,Nornoreste,10.4,16.0,28.0,115785,no,,0.0,1.0,3.0,1019.6,1023.1,Noreste,39.0,35.9,12.5,35.4,26.5,20.0,20.0
Floresta,2009-12-09,Oeste,Norte,12.1,19.0,74.0,36871,si,9.0,1.2,6.0,2.0,1009.7,1011.4,Oestenoroeste,41.0,26.1,9.2,24.3,15.2,19.0,2.0
Balvanera,2017-03-29,Nornoreste,Este,,24.0,35.0,8969,no,,0.0,1.0,,1006.9,1010.5,Noroeste,39.0,38.3,18.2,36.2,24.0,19.0,13.0
Belgrano,2009-10-24,suroeste,Norte,12.0,7.0,34.0,12363,no,13.6,0.0,4.0,1.0,1013.8,1018.0,suroeste,57.0,35.0,17.5,33.3,25.1,24.0,17.0
San Telmo,2014-11-18,Oeste,suroeste,,37.0,51.0,98562,no,4.8,0.0,,,1020.9,1023.2,Oestenoroeste,30.0,24.0,12.3,21.8,16.8,11.0,9.0
Villa General Mitre,2010-12-05,Oeste,Oeste,8.1,52.0,63.0,115323,,,,,8.0,1004.3,1006.6,Oeste,33.0,23.8,12.6,21.9,19.3,22.0,13.0
Barracas,2015-01-12,,,,81.0,88.0,11171,,,,,,,,,,26.7,21.1,24.2,22.8,,
Villa Soldati,2009-01-06,Oeste,Oestenoroeste,8.0,64.0,79.0,139300,si,3.0,6.0,7.0,7.0,1004.0,1006.9,Noroeste,39.0,32.7,24.0,32.2,29.3,28.0,22.0
Colegiales,2010-07-16,suroeste,,,44.0,82.0,27728,no,,0.0,,,1024.3,1026.7,Sur,26.0,16.4,-0.4,15.5,7.5,9.0,0.0
Parque Avellaneda,2008-11-30,Nornoreste,Oestenoroeste,9.7,24.0,59.0,67352,no,3.6,0.0,6.0,6.0,1005.5,1010.7,Nornoreste,59.0,25.2,10.2,24.3,14.6,26.0,13.0
Recoleta,2011-12-02,Sursureste,Este,6.2,61.0,75.0,82033,no,,0.0,,,1022.9,1027.0,Sursuroeste,37.0,20.0,5.6,18.1,13.8,15.0,11.0
Villa Pueyrredón,2014-12-28,suroeste,Oestesuroeste,,66.0,79.0,128927,no,,0.0,,,1018.1,1018.3,suroeste,33.0,24.7,15.4,20.9,20.6,20.0,13.0
Almagro,2017-03-19,Este,Este,,,,5950,si,,16.0,,,1017.6,1020.2,Estenoreste,37.0,27.9,19.9,25.9,22.8,17.0,15.0
San Telmo,2011-10-19,Noroeste,Nornoreste,11.4,11.0,27.0,97495,no,7.4,0.0,,,1016.4,1019.5,Nornoreste,54.0,34.5,18.7,33.7,27.3,20.0,13.0
Constitución,2010-01-09,Noreste,Oestesuroeste,13.2,51.0,76.0,30884,no,5.4,0.0,3.0,1.0,1014.6,1018.0,,,32.4,20.8,30.6,24.4,13.0,2.0
Belgrano,2014-12-08,Oestesuroeste,Norte,9.9,22.0,76.0,14145,si,37.6,44.8,6.0,7.0,1007.7,1008.4,Oeste,48.0,34.2,22.5,33.5,25.6,20.0,26.0
Almagro,2015-01-18,Estesureste,suroeste,,38.0,73.0,5159,no,,0.0,,,1008.7,1011.9,Este,37.0,32.2,16.4,31.3,22.1,13.0,7.0
Villa Soldati,2011-12-06,Oestenoroeste,Oeste,8.7,63.0,69.0,140334,no,6.8,0.0,7.0,7.0,1005.0,1007.2,Noroeste,39.0,33.6,27.0,32.4,30.6,30.0,13.0
Parque Chacabuco,2013-12-19,Norte,Nornoreste,6.8,8.0,24.0,72117,no,11.0,0.0,4.0,7.0,1011.3,1014.2,Oestenoroeste,67.0,42.6,22.6,41.9,30.8,19.0,17.0
Recoleta,2010-12-11,Noroeste,Noroeste,5.1,93.0,84.0,81707,si,4.8,1.8,,,999.9,1004.3,Nornoreste,69.0,20.3,10.6,15.6,14.6,35.0,26.0
Parque Patricios,2012-01-31,Sursureste,Sur,5.9,61.0,52.0,76075,si,2.2,4.8,8.0,7.0,1019.9,1017.2,Sur,43.0,17.7,12.1,14.7,13.9,22.0,17.0
Villa Lugano,2016-03-05,Oestesuroeste,Este,11.9,43.0,52.0,120160,no,7.8,0.0,1.0,1.0,1015.9,1019.4,Este,39.0,29.8,17.1,27.2,21.9,26.0,17.0
Villa Crespo,2011-07-10,Sursuroeste,Oeste,,57.0,90.0,106452,no,,0.0,7.0,,1025.8,1027.3,suroeste,39.0,16.2,4.4,14.8,8.7,28.0,13.0
Villa Santa Rita,2012-10-01,Sureste,Estenoreste,11.1,10.0,24.0,137441,no,7.4,0.0,3.0,1.0,1021.4,1025.1,Estesureste,52.0,25.7,5.7,23.4,17.4,20.0,20.0
Villa Devoto,2016-09-02,Sur,Oeste,,85.0,67.0,114323,no,,0.0,,,1020.4,1021.5,suroeste,37.0,16.0,10.2,13.6,13.7,13.0,17.0
Parque Avellaneda,2012-01-07,Nornoreste,Norte,5.9,21.0,41.0,68455,no,9.0,0.0,,,1005.1,1008.8,Norte,69.0,29.9,14.8,29.9,22.2,30.0,54.0
Villa Crespo,2012-10-02,Estenoreste,Este,11.6,11.0,27.0,106902,no,,0.0,0.0,0.0,1026.4,1032.0,Noreste,37.0,26.1,10.5,24.5,19.5,20.0,24.0
Coghlan,2015-04-25,Oeste,Sur,,51.0,90.0,26374,no,,0.0,,,,,Sursureste,30.0,24.4,11.1,20.6,14.8,19.0,4.0
Chacarita,2015-04-09,Nornoreste,Nornoreste,9.4,77.0,74.0,23319,no,5.0,0.0,3.0,6.0,1016.1,1018.6,Norte,35.0,25.6,19.7,23.4,23.1,20.0,15.0
La Boca,2012-02-01,Sureste,Sureste,0.0,89.0,95.0,40634,si,3.4,34.0,8.0,8.0,1012.9,1013.3,Sureste,48.0,19.9,18.2,18.6,19.1,30.0,28.0
Monserrat,2012-04-11,Estesureste,Sureste,,55.0,73.0,56299,no,,0.0,,3.0,1032.6,1034.5,Sureste,35.0,16.3,6.1,15.5,11.7,15.0,22.0
San Cristóbal,2015-03-11,,Sursureste,,73.0,76.0,92442,no,,0.8,,,1013.8,1016.0,,,30.3,23.6,25.9,27.2,,24.0
Parque Chacabuco,2010-09-27,Oestesuroeste,Oeste,8.7,37.0,75.0,71027,no,3.0,0.0,4.0,6.0,1013.4,1016.7,Oestenoroeste,43.0,22.4,9.2,22.0,13.1,20.0,11.0
Colegiales,2017-06-24,Sursuroeste,Oeste,,39.0,85.0,30174,no,,0.0,,,1015.2,1017.8,Oeste,26.0,19.8,2.5,19.3,9.6,7.0,4.0
Constitución,2012-11-16,Sursureste,Sursuroeste,0.0,81.0,86.0,31896,no,5.0,0.4,8.0,8.0,1011.0,1012.7,Sursuroeste,41.0,18.0,17.2,17.5,17.2,9.0,11.0
Almagro,2014-08-26,Sur,Sursureste,,94.0,100.0,5014,si,,7.4,,,1023.0,1023.9,Sursuroeste,30.0,14.7,8.9,14.4,12.8,11.0,7.0
Colegiales,2010-09-05,Oeste,Noroeste,,37.0,46.0,27779,no,,0.8,,,1011.1,1010.9,Oeste,69.0,20.9,13.9,20.1,19.0,31.0,37.0
Villa Luro,2015-09-01,suroeste,Sursureste,10.3,53.0,64.0,123167,si,3.2,6.6,6.0,1.0,1023.1,1024.2,Sur,35.0,15.5,7.2,15.1,10.7,17.0,15.0
Puerto Madero,2015-04-08,Sursuroeste,Sur,5.9,51.0,71.0,80188,si,3.8,7.2,3.0,7.0,1022.6,1022.1,Sursuroeste,37.0,18.2,11.5,17.8,14.4,20.0,19.0
Villa Luro,2015-12-02,Sursuroeste,Estenoreste,9.1,27.0,34.0,123259,no,10.2,0.0,7.0,6.0,1009.6,1015.6,suroeste,33.0,35.3,15.8,32.9,24.6,15.0,17.0
Parque Avellaneda,2011-12-13,Sur,Sursuroeste,7.9,38.0,45.0,68430,si,5.2,1.6,5.0,7.0,1015.7,1014.4,Sursureste,50.0,20.0,14.2,18.8,16.9,30.0,33.0
Flores,2014-03-13,Sursureste,Sursuroeste,6.2,73.0,82.0,35328,si,7.0,30.6,3.0,6.0,1018.5,1020.5,Sursuroeste,56.0,24.7,18.3,22.4,19.6,24.0,24.0
Monserrat,2015-08-16,Nornoreste,Nornoreste,,68.0,99.0,57462,no,,0.2,8.0,8.0,1022.3,1027.4,Noroeste,41.0,12.9,-1.2,11.8,7.5,22.0,9.0
Villa Crespo,2015-09-11,Nornoreste,Nornoreste,,12.0,38.0,107917,no,,0.0,,,1022.5,1026.6,Norte,46.0,27.3,9.8,27.0,18.6,24.0,31.0
San Nicolás,2011-09-26,Noreste,Nornoreste,10.3,37.0,62.0,94279,no,7.4,0.0,0.0,1.0,1010.9,1016.4,Nornoreste,28.0,31.1,18.1,28.7,25.0,20.0,9.0
San Nicolás,2014-04-09,Estenoreste,Sureste,10.8,58.0,61.0,95146,no,9.2,0.4,3.0,5.0,1010.5,1014.2,Estesureste,43.0,30.2,23.0,28.8,27.2,31.0,22.0
Villa Soldati,2010-12-16,Nornoreste,Estenoreste,7.2,56.0,73.0,140009,si,6.4,6.6,6.0,7.0,1002.3,1005.5,Nornoreste,35.0,32.7,22.1,31.9,29.3,15.0,9.0
Constitución,2010-12-04,Este,Nornoreste,1.6,80.0,84.0,31213,no,7.4,0.0,,,1010.2,1013.0,Noreste,31.0,22.7,19.6,22.0,20.9,19.0,6.0
Mataderos,2016-07-23,Oeste,Oestenoroeste,,56.0,74.0,51724,si,,11.4,,,1006.4,1001.9,Oeste,85.0,10.7,4.7,8.1,6.7,22.0,24.0
Floresta,2016-11-27,Nornoreste,Estenoreste,,22.0,61.0,39327,no,,0.0,,,1014.0,1017.0,Norte,30.0,28.3,7.5,26.8,15.7,9.0,6.0
Constitución,2011-02-27,Oestenoroeste,Oeste,1.4,63.0,74.0,31298,no,8.0,0.0,,,1007.5,1008.3,Sursuroeste,37.0,30.3,20.3,26.9,22.3,6.0,17.0
Agronomía,2012-07-06,Sursureste,,,53.0,87.0,1283,no,,0.0,,,1032.9,1036.5,Estesureste,13.0,12.9,-2.0,12.9,3.7,2.0,0.0
Agronomía,2016-10-05,Oeste,Nornoreste,,64.0,78.0,2776,si,,7.8,6.0,2.0,1017.6,1018.3,Oestenoroeste,39.0,15.7,3.5,14.2,8.6,22.0,6.0
Palermo,2015-02-17,Sur,Sursureste,0.7,65.0,76.0,66340,no,10.8,0.0,7.0,8.0,1017.0,1017.7,Sur,31.0,20.7,17.0,19.6,17.1,17.0,20.0
Barracas,2014-06-29,,,,33.0,43.0,10974,si,,1.4,,,,,,,19.2,4.6,18.4,15.2,,
Villa Urquiza,2015-08-08,Este,Estesureste,,,96.0,143194,no,7.2,0.0,,1.0,1013.1,1019.0,Este,43.0,31.7,13.5,,20.0,19.0,19.0
Villa Lugano,2009-07-07,Nornoreste,Noreste,2.0,55.0,88.0,117816,si,1.8,4.0,7.0,6.0,1016.7,1017.9,Oestenoroeste,28.0,17.7,7.9,17.3,12.0,15.0,9.0
San Cristóbal,2012-07-18,Sureste,Oestesuroeste,,73.0,90.0,91535,si,,1.2,,,1016.1,1021.0,Sur,26.0,21.7,14.2,19.8,16.3,11.0,11.0
Flores,2010-07-16,Sur,Oeste,9.4,59.0,51.0,34081,no,4.4,0.0,1.0,3.0,1024.2,1025.9,Oeste,39.0,17.1,7.2,14.9,12.1,26.0,15.0
Belgrano,2016-10-18,Oeste,Nornoreste,,35.0,95.0,14825,si,,3.8,,6.0,1016.2,1019.0,Noroeste,33.0,23.9,5.3,22.5,11.9,9.0,13.0
Coghlan,2014-11-02,Estenoreste,Noroeste,,16.0,29.0,26200,,,,,,,,Este,31.0,25.6,10.9,24.9,16.2,9.0,4.0
Parque Chas,2015-08-28,Sur,Sursuroeste,,49.0,100.0,74312,no,,0.0,,,1026.0,1028.6,Sursureste,39.0,15.2,3.5,14.1,8.4,20.0,19.0
Villa Luro,2012-01-02,suroeste,Este,12.3,51.0,59.0,121888,no,4.8,0.0,2.0,3.0,1009.2,1012.1,suroeste,48.0,30.3,18.1,28.2,23.5,24.0,9.0
Puerto Madero,2010-08-17,Noreste,Nornoreste,8.0,51.0,89.0,78582,no,2.6,0.6,7.0,6.0,1019.4,1023.1,Nornoreste,20.0,13.5,2.9,12.9,5.9,7.0,4.0
San Telmo,2016-07-27,Oestesuroeste,Sursuroeste,,57.0,68.0,99179,si,,10.4,,,1025.3,1022.7,suroeste,39.0,14.1,9.1,13.2,11.3,13.0,9.0
Villa Devoto,2015-11-22,Sursureste,Este,,40.0,38.0,114038,no,,0.0,,,1012.3,1016.8,Norte,35.0,35.4,13.7,30.7,24.4,13.0,17.0
Villa Luro,2014-11-29,Sursuroeste,Sur,9.9,58.0,65.0,122891,no,6.0,0.0,1.0,7.0,1012.6,1014.9,Sursuroeste,35.0,25.4,18.0,22.8,20.0,20.0,11.0
La Boca,2016-03-04,Estenoreste,Noreste,,60.0,74.0,42068,no,,0.0,8.0,2.0,1019.7,1021.6,Estenoreste,41.0,28.3,21.3,27.2,24.5,24.0,17.0
Colegiales,2009-01-10,Este,Sursureste,,,,27176,no,,0.0,,,1012.7,1017.1,Noreste,35.0,25.1,11.3,23.3,17.2,19.0,6.0
Belgrano,2011-02-05,Nornoreste,Nornoreste,12.7,26.0,63.0,12832,no,13.0,0.0,2.0,1.0,1011.9,1015.6,Nornoreste,44.0,37.4,25.0,35.6,27.6,20.0,30.0
Belgrano,2012-03-27,Estesureste,Este,7.2,31.0,57.0,13218,no,6.8,0.0,6.0,1.0,1018.4,1021.6,Noreste,31.0,29.6,16.8,27.2,20.6,6.0,17.0
Villa Soldati,2016-05-24,Oestenoroeste,Noreste,10.4,48.0,63.0,141906,no,7.4,0.0,2.0,5.0,1010.1,1013.7,Norte,30.0,33.3,24.1,32.8,28.5,17.0,9.0
San Cristóbal,2011-09-27,Sureste,Sursureste,,58.0,48.0,91240,no,,0.0,,,1018.4,1021.4,Sureste,50.0,23.3,14.2,21.0,21.2,41.0,28.0
Retiro,2009-09-12,Estenoreste,Sursuroeste,11.0,42.0,53.0,84445,no,5.4,0.0,1.0,0.0,1023.9,1026.7,Noroeste,30.0,25.4,10.9,24.4,20.1,13.0,7.0
Flores,2010-04-25,Sur,Oestenoroeste,3.8,75.0,79.0,33999,si,5.0,8.4,6.0,8.0,1013.7,1013.2,Sur,57.0,22.6,16.8,18.8,17.1,33.0,30.0
Villa Luro,2015-04-23,Sureste,Estesureste,10.4,39.0,59.0,123036,no,3.0,0.0,1.0,0.0,1021.8,1023.4,Sureste,35.0,26.0,10.3,25.0,19.1,15.0,9.0
Vélez Sársfield,2014-01-02,Sur,Sur,,57.0,75.0,101282,si,2.4,15.2,7.0,7.0,1009.1,1009.7,Sur,39.0,20.8,11.2,19.6,15.2,19.0,7.0
La Boca,2009-05-26,Noroeste,Oestenoroeste,3.4,70.0,100.0,39683,no,1.2,0.8,,7.0,1018.9,1022.4,,,20.4,10.8,19.2,13.4,9.0,15.0
Palermo cheto,2013-04-19,Estesureste,Estesureste,,19.0,33.0,143931,no,,0.0,,,1013.6,1017.6,Estenoreste,31.0,33.5,16.1,33.0,22.7,9.0,13.0
Villa Santa Rita,2014-09-03,Sur,Estenoreste,11.2,15.0,24.0,138084,no,6.2,0.0,1.0,1.0,1017.4,1023.5,Estenoreste,28.0,25.4,2.7,24.0,13.5,9.0,19.0
La Boca,2013-04-21,Sureste,Oestenoroeste,,58.0,72.0,41020,,,,,,1012.8,1015.9,Oestesuroeste,26.0,20.4,10.2,19.2,15.7,13.0,15.0
Chacarita,2013-03-18,suroeste,Oestenoroeste,6.7,62.0,63.0,22567,no,3.8,0.0,2.0,7.0,1011.0,1010.9,suroeste,44.0,25.8,21.7,24.9,23.5,28.0,20.0
Boedo,2014-06-06,suroeste,,,98.0,96.0,17000,si,,5.2,8.0,8.0,,,,,18.4,14.2,15.0,15.2,19.0,0.0
Puerto Madero,2016-07-30,Nornoreste,Norte,3.0,72.0,98.0,80667,si,1.6,3.8,7.0,6.0,1016.8,1021.0,Nornoreste,59.0,14.2,7.6,12.8,11.1,24.0,19.0
Villa Luro,2008-09-15,Nornoreste,Este,8.6,34.0,55.0,120714,si,2.8,1.2,6.0,5.0,1019.1,1023.0,Norte,26.0,20.3,6.2,19.8,14.1,9.0,9.0
Agronomía,2012-08-15,Oeste,Estesureste,,67.0,100.0,1323,si,,1.2,2.0,8.0,1015.0,1017.8,Oestenoroeste,26.0,13.0,2.1,12.6,6.2,11.0,6.0
Monserrat,2011-05-21,Nornoreste,Nornoreste,,54.0,63.0,55973,no,,0.0,,3.0,1017.3,1020.9,Norte,46.0,17.0,7.2,16.3,11.4,35.0,28.0
Villa Santa Rita,2010-04-30,Sursureste,Oestenoroeste,11.0,29.0,57.0,136586,no,4.6,0.0,1.0,0.0,1019.7,1024.1,Sureste,33.0,24.4,7.5,23.9,15.6,15.0,4.0
La Paternal,2011-08-18,Oestesuroeste,Nornoreste,,39.0,68.0,43507,si,,5.4,,,1008.4,1007.8,Norte,54.0,17.0,11.2,16.2,12.7,26.0,7.0
Parque Chas,2016-12-21,Sursuroeste,Sursuroeste,,38.0,59.0,74793,no,,0.0,,,1017.2,1017.6,Sursureste,43.0,26.1,9.4,23.1,16.0,24.0,24.0
Mataderos,2010-12-02,Oestesuroeste,Nornoreste,,88.0,92.0,49754,si,,18.8,,,1014.9,1016.7,Estenoreste,30.0,24.3,14.4,16.4,17.0,11.0,2.0
Villa Lugano,2012-06-01,Sur,Sursuroeste,2.8,65.0,97.0,118846,si,4.2,6.6,5.0,7.0,1018.6,1019.8,Sureste,30.0,20.0,11.8,18.8,14.1,17.0,2.0
La Boca,2009-12-09,Estesureste,Sur,7.6,61.0,70.0,39880,no,8.0,0.0,7.0,5.0,1009.7,1010.1,Sursuroeste,43.0,25.0,20.0,23.3,22.3,24.0,22.0
Chacarita,2014-06-21,Nornoreste,Norte,9.1,49.0,51.0,23027,no,2.2,0.0,1.0,2.0,1023.0,1025.6,Noroeste,26.0,19.6,13.6,18.6,17.4,11.0,4.0
Mataderos,2014-10-22,Noroeste,Nornoreste,,49.0,77.0,51084,no,,0.0,,,1019.4,1025.9,Norte,28.0,25.1,9.6,23.7,10.9,13.0,4.0
Puerto Madero,2012-08-03,Norte,Norte,9.1,54.0,64.0,79269,no,1.8,0.2,6.0,2.0,1013.3,1015.6,Norte,31.0,15.8,3.1,14.9,10.0,17.0,17.0
Coghlan,2016-05-11,Oeste,,,34.0,63.0,26756,no,,0.0,,,,,Oestenoroeste,41.0,23.2,7.8,20.0,14.1,19.0,0.0
Parque Patricios,2012-02-24,Sur,Nornoreste,12.3,25.0,88.0,76099,no,4.0,0.0,0.0,0.0,1016.2,1018.4,Norte,43.0,35.5,9.0,33.4,13.9,9.0,11.0
Parque Chacabuco,2015-10-29,Estenoreste,Este,11.8,17.0,25.0,72796,no,7.0,0.0,2.0,2.0,1016.0,1019.6,Norte,31.0,33.3,15.9,31.5,24.1,9.0,13.0
Recoleta,2010-03-26,Sur,,0.1,81.0,61.0,81447,no,7.6,0.0,,,1018.3,1018.0,Sureste,30.0,20.0,9.8,19.7,14.1,9.0,0.0
Retiro,2010-09-10,Noroeste,Norte,0.9,67.0,67.0,84808,no,7.0,0.0,7.0,7.0,1008.2,1010.8,Oestenoroeste,30.0,24.1,18.7,24.0,22.3,7.0,4.0
Colegiales,2014-07-07,Oestesuroeste,,,42.0,82.0,29091,no,,0.0,1.0,,1012.4,1015.1,Oeste,33.0,18.9,-1.2,17.4,5.3,15.0,0.0
Villa del Parque,2009-02-09,,Estesureste,6.0,,59.0,108641,no,10.4,0.0,,7.0,1022.9,1024.7,,,22.5,17.6,,19.5,,19.0
Villa Pueyrredón,2009-09-02,Oestesuroeste,Oestesuroeste,,49.0,72.0,127076,si,,6.4,,,1016.1,1013.9,Oeste,69.0,12.8,6.9,12.4,10.0,28.0,24.0
Recoleta,2017-06-15,Nornoreste,Estenoreste,,79.0,91.0,83996,no,,0.0,,,1024.6,1026.4,Nornoreste,19.0,16.2,7.6,15.1,8.8,6.0,6.0
San Nicolás,2013-08-10,Estenoreste,Sursureste,10.9,49.0,58.0,94904,no,6.4,0.0,1.0,1.0,1016.1,1018.3,Noreste,35.0,25.1,11.5,23.7,21.0,24.0,9.0
Nueva Pompeya,2009-02-27,Nornoreste,Estenoreste,,15.0,40.0,58230,no,5.6,0.0,2.0,2.0,1011.3,1014.4,Norte,35.0,34.5,14.0,32.5,21.7,17.0,17.0
Flores,2016-12-25,Noreste,Estesureste,12.8,50.0,67.0,36346,no,4.6,0.4,3.0,3.0,1015.4,1017.1,Noreste,59.0,29.4,18.5,27.9,24.1,35.0,7.0
Villa Lugano,2009-01-26,Oeste,Noroeste,13.0,54.0,74.0,117654,no,10.0,0.0,1.0,1.0,1008.3,1007.8,Oeste,37.0,30.8,17.5,27.1,23.6,24.0,6.0
Barracas,2010-09-09,Nornoreste,Nornoreste,4.2,70.0,63.0,9674,no,1.8,0.0,7.0,5.0,1013.6,1019.5,Norte,39.0,22.7,9.2,20.4,19.3,24.0,24.0
Agronomía,2014-01-17,Noreste,Sursureste,,11.0,37.0,1784,no,,0.0,,,1007.9,1012.7,Noreste,33.0,42.6,21.7,41.5,29.6,19.0,11.0
San Telmo,2011-10-05,Noroeste,Nornoreste,0.2,82.0,93.0,97481,si,1.8,8.6,,,1011.0,1013.0,Nornoreste,26.0,17.0,13.4,16.1,13.7,11.0,9.0
La Paternal,2015-05-23,Sur,suroeste,,58.0,61.0,44822,si,,17.6,,4.0,1028.4,1029.4,suroeste,43.0,17.2,11.8,16.1,14.3,24.0,19.0
Parque Avellaneda,2015-01-30,Sur,Sursureste,11.8,,,69515,,8.0,,,,,,Sursureste,59.0,,,,,30.0,19.0
San Telmo,2017-02-27,Oestesuroeste,Oestesuroeste,,28.0,58.0,99394,no,,0.0,,,1015.9,1018.4,Estesureste,35.0,35.0,14.1,33.2,21.7,15.0,4.0
